Id,Prenom,Nom,Note
243,Robin,Denis,18.81
244,Rose,Fournier,17.01
245,Jade,Francois,6.18
246,Enzo,Petit,15.93
247,Théo,Lecomte,5.22
248,Milo,Legrand,8.21
249,Eden,Lucas,2.87
250,Mathis,Roche,3.28
251,Lucas,Lucas,19.86
252,Ambre,Bertrand,11.19
253,Axel,Payet,18.25
254,Lou,Michel,9.67
255,Tom,Roux,15.18
256,Axel,Bonnet,10.36
257,Mohamed,Benoit,11.28
258,Jade,Colin,14.86
259,Romy,Giraud,17.93
260,Nathan,Martin,16.87
261,Adèle,Girard,7.79
262,Lya,Vincent,0.67
263,Giulia,Morin,17.11
264,Eliott,Lemoine,5.11
265,Lina,Chevalier,2.52
266,Eliott,Philippe,15.11
267,Rayan,Bourgeois,14.83
268,Mia,Meyer,17.61
269,Théo,Noel,0.75
270,Lucas,Richard,2.08
271,Léon,Thomas,9.71
272,Zoé,Andre,3.54
273,Jeanne,Lucas,9.3
274,Louis,Leclerc,14.12
275,Lyana,Simon,12.74
276,Hugo,Mercier,2.33
277,Léa,Picard,6.75
278,Lou,Mathieu,7.53
279,Théo,Rolland,13.93
280,Ava,Blanc,14.2
281,Naël,Masson,13.72
282,Marceau,Leclercq,17.81
283,Romy,Faure,4.07
284,Alix,Philippe,13.77
285,Lola,Chevalier,18.7
286,Alma,Riviere,9.21
287,Mia,Meunier,16.18
288,Léa,Renaud,7.14
289,Adam,Rousseau,13.78
290,Ethan,Lemaire,2.4
291,Valentin,Lacroix,5.31
292,Victoria,Payet,1.57
293,Adam,Payet,9.93
294,Milo,Muller,9.62
295,Sofia,Marchand,17.75
296,Elio,Boyer,4.24
297,Lya,Girard,5.07
298,Alma,Lefebvre,19.6
299,Gabin,Schmitt,10.38
300,Robin,Denis,16.28
301,Tiago,Perrin,5.16
302,Paul,Martin,1.23
303,Noah,Lemoine,4.62
304,Jade,Caron,19.32
305,Alma,Roux,17.36
306,Agathe,Gaillard,10.53
307,Adam,Muller,14.36
308,Léon,Francois,3.99
309,Tiago,Fontaine,2.72
310,Victoria,Fournier,17.42
311,Chloé,Boyer,13.11
312,Chloé,Gautier,19.26
313,Léonie,Robert,9.63
314,Olivia,Petit,1.46
315,Lyana,Robin,14.43
316,Anna,Rolland,5.75
317,Ayden,Lefebvre,16.85
318,Jules,Lecomte,0.56
319,Agathe,Gautier,1.46
320,Léon,Gautier,11.96
321,Martin,Brun,1.53
322,Victor,Rolland,9.58
323,Marius,Dubois,3.19
324,Nour,Gerard,17.3
325,Naël,Schmitt,1.67
326,Lyam,Joly,10.09
327,Valentin,Vidal,3.98
328,Valentin,Roche,18.23
329,Enzo,Lemoine,19.47
330,Julia,Olivier,6.88
331,Inaya,Roux,3.9
332,Olivia,Renaud,5.64
333,Paul,Muller,8.83
334,Juliette,Simon,6.64
335,Anna,David,17.11
336,Chloé,Vincent,18.18
337,Sofia,Lefevre,4.04
338,Inès,Pierre,17.91
339,Martin,Petit,8.71
340,Lucas,Meyer,15.94
341,Malo,Meunier,7.62
342,Agathe,Roy,19.0
343,Lya,Duval,9.52
344,Lucas,Renaud,3.51
345,Isaac,Meyer,7.61
346,Alix,Roy,11.57
347,Valentin,Bernard,13.34
348,Ethan,Joly,17.89
349,Romy,Vincent,17.51
350,Lucas,Denis,2.58
351,Adam,Laurent,3.0
352,Augustin,Roy,6.66
353,Lyana,Renaud,6.79
354,Enzo,Bernard,13.63
355,Léonie,Roux,19.55
356,Emy,Martin,6.73
357,Victoria,Rousseau,3.51
358,Léonie,Richard,17.0
359,Charlotte,Meyer,16.63
360,Enzo,Morin,6.5
361,Martin,Riviere,13.56
362,Jeanne,Masson,4.98
363,Emma,Rousseau,14.82
364,Juliette,Masson,6.44
365,Louna,Mathieu,4.1
366,Lina,Dufour,10.05
367,Romy,Laurent,14.38
368,Jade,Philippe,3.55
369,Lyam,Masson,17.16
370,Rose,Michel,3.77
371,Timéo,Bonnet,19.47
372,Léon,Morel,18.35
373,Paul,Perrin,9.72
374,Lucie,Rousseau,14.94
375,Elena,Duval,3.44
376,Inès,Blanchard,5.33
377,Léa,Marchand,15.42
378,Lucas,Marie,9.92
379,Lou,Henry,2.96
380,Inaya,Legrand,5.71
381,Lola,Dumas,7.74
382,Nour,Mercier,5.21
383,Lucas,Giraud,15.31
384,Adèle,Joly,11.3
385,Chloé,Blanc,3.2
386,Margaux,Fournier,17.85
387,Charlie,Bonnet,17.02
388,Sacha,Nicolas,16.76
389,Adam,Gerard,7.36
390,Jeanne,Fontaine,5.51
391,Nino,Mathieu,13.2
392,Lyana,Bertrand,1.84
393,Lucie,Gautier,12.82
394,Alice,Petit,11.83
395,Alix,Leroy,17.04
396,Agathe,David,2.02
397,Nina,Roux,10.91
398,Malo,Girard,15.66
399,Mohamed,Lemoine,3.71
400,Inès,Durand,1.23
401,Ayden,Leclercq,8.11
402,Eliott,Perrin,9.43
403,Timéo,Bernard,10.09
404,Noé,Andre,9.43
405,Axel,Guerin,11.97
406,Gabin,Gauthier,4.87
407,Ayden,Rolland,4.38
408,Amir,Schmitt,12.6
409,Tom,Brunet,4.61
410,Valentin,Dufour,7.76
411,Mila,Bertrand,4.89
412,Eliott,Renaud,4.92
413,Emy,Bourgeois,1.4
414,Lou,Picard,14.66
415,Lya,Nicolas,11.22
416,Juliette,Richard,5.85
417,Alice,Lucas,7.0
418,Tom,Barbier,16.94
419,Louis,Riviere,2.08
420,Victoire,Guerin,7.43
421,Léonie,Girard,17.97
422,Paul,Gautier,5.36
423,Tom,Philippe,8.51
424,Lola,Muller,18.36
425,Axel,Lefevre,13.4
426,Sacha,Dumont,11.47
427,Nathan,Henry,15.34
428,Marius,Duval,3.26
429,Alice,Garnier,12.94
430,Romane,Lefebvre,3.58
431,Léon,Blanchard,0.43
432,Tom,Boyer,17.81
433,Zoé,Girard,13.83
434,Mia,Gautier,11.17
435,Mathis,Olivier,0.22
436,Léon,Rolland,12.56
437,Hugo,Michel,10.22
438,Emy,Francois,11.17
439,Ayden,Leclercq,3.6
440,Mia,Martinez,4.67
441,Charlotte,Marie,10.81
442,Alice,Vidal,17.1
443,Malo,Gauthier,14.44
444,Amir,Rolland,3.46
445,Inès,Martin,0.61
446,Léon,Marie,17.72
447,Louna,Dubois,10.6
448,Timéo,Garnier,16.29
449,Théo,Blanc,2.35
450,Alma,Bertrand,15.5
451,Léon,Durand,7.03
452,Lou,Martin,13.34
453,Ambre,Lecomte,3.59
454,Julia,Fontaine,11.68
455,Alba,Denis,14.39
456,Iris,Schmitt,2.79
457,Arthur,David,19.78
458,Sacha,Caron,0.66
459,Ayden,Brun,0.53
460,Mya,Simon,8.83
461,Isaac,Dumas,13.02
462,Amir,Renaud,6.87
463,Lou,Barbier,3.75
464,Louna,David,13.82
465,Lina,Marie,14.69
466,Luna,Andre,13.39
467,Léna,Roche,10.99
468,Alix,Nicolas,14.88
469,Louis,Brunet,2.92
470,Enzo,Mathieu,13.57
471,Arthur,Colin,13.11
472,Maël,Laurent,4.87
473,Chloé,Thomas,19.55
474,Raphaël,Blanc,12.73
475,Lina,Martinez,8.43
476,Victor,Gautier,15.45
477,Nina,Clement,5.24
478,Marius,Durand,18.44
479,Augustin,Guerin,16.46
480,Louna,Muller,7.17
481,Noah,Roche,0.32
482,Emma,Gautier,18.67
483,Léa,Mercier,1.83
484,Eliott,Roux,4.92
485,Inès,Guerin,8.44
486,Jules,Marchand,13.32
487,Elio,Garnier,7.67
488,Olivia,Gautier,6.31
489,Isaac,Philippe,0.14
490,Romane,Fabre,11.81
491,Iris,Bourgeois,1.98
492,Juliette,Fournier,17.07
493,Iris,Nicolas,17.85
494,Jade,Pierre,9.42
495,Victoire,Schmitt,19.55
496,Lyana,Bertrand,15.26
497,Adèle,Aubert,19.2
498,Zoé,Gerard,6.7
499,Maël,Joly,17.67
500,Romane,Gaillard,15.95
501,Ethan,Michel,14.86
502,Lina,Fournier,9.4
503,Ibrahim,Bonnet,15.66
504,Elena,Picard,10.89
505,Charlie,Simon,2.58
506,Ethan,Lefebvre,19.95
507,Romy,Durand,3.36
508,Gabin,Dufour,7.88
509,Elena,Girard,14.48
510,Alba,Garnier,5.28
511,Mya,Lemaire,18.47
512,Julia,Olivier,1.39
513,Mila,Roy,19.93
514,Lou,David,3.06
515,Nour,Renard,3.86
516,Mya,Lefebvre,0.33
517,Paul,Caron,8.69
518,Lyam,Gauthier,0.1
519,Paul,Dufour,15.29
520,Paul,Picard,2.72
521,Eva,Denis,0.09
522,Mathis,Martinez,2.35
523,Timéo,Garcia,15.87
524,Elio,Colin,8.17
525,Olivia,Gaillard,12.11
526,Gaspard,Muller,19.12
527,Adam,Robin,17.95
528,Jade,Lemoine,9.46
529,Valentin,Laurent,0.53
530,Victor,Blanc,6.32
531,Amir,Durand,17.68
532,Ibrahim,Henry,6.18
533,Emma,Pierre,11.1
534,Mohamed,Gauthier,2.35
535,Ibrahim,Philippe,7.67
536,Amir,Bourgeois,8.76
537,Romane,Francois,18.39
538,Emy,Fabre,2.07
539,Isaac,Dubois,15.5
540,Emy,Meyer,0.95
541,Gabriel,Renard,3.53
542,Lou,Picard,10.25
543,Léonie,Benoit,12.96
544,Charlotte,Noel,12.53
545,Lucie,Lambert,13.82
546,Sofia,Roy,1.92
547,Aaron,Moreau,11.57
548,Margaux,Philippe,9.67
549,Lola,Leclerc,6.07
550,Noah,Nicolas,8.52
551,Lou,Lemaire,8.45
552,Victor,Renard,3.32
553,Romy,Muller,1.42
554,Isaac,Robin,7.11
555,Ethan,Fabre,14.19
556,Ethan,Girard,18.1
557,Robin,Lemoine,8.44
558,Lyana,Martin,5.9
559,Ethan,Moreau,16.83
560,Léa,Leroux,12.35
561,Jade,Perrin,1.44
562,Iris,Gautier,5.17
563,Eliott,Brun,8.49
564,Alix,Picard,16.02
565,Jade,Chevalier,12.54
566,Eva,Leroy,14.68
567,Mathis,Giraud,15.63
568,Mia,Aubert,13.46
569,Lucie,Brunet,16.49
570,Louna,Picard,8.05
571,Elio,Lecomte,1.87
572,Charlie,Brun,2.11
573,Olivia,Leroy,2.93
574,Sacha,Joly,5.69
575,Alma,Martin,6.34
576,Margaux,Dubois,18.75
577,Gaspard,Dufour,0.69
578,Adam,Joly,3.51
579,Naël,Simon,12.56
580,Ibrahim,Blanchard,14.9
581,Elena,Fabre,11.3
582,Lina,Barbier,6.17
583,Julia,Laurent,6.09
584,Louis,Lacroix,6.07
585,Arthur,Mercier,5.03
586,Alice,Roussel,12.87
587,Ethan,Guerin,0.96
588,Eden,Dupont,4.08
589,Iris,Meyer,12.17
590,Mila,Michel,11.77
591,Emy,Colin,5.12
592,Léon,Roux,11.57
593,Théo,Aubert,18.96
594,Adèle,Faure,4.77
595,Victoire,Fabre,0.8
596,Lina,Nicolas,9.94
597,Imran,Dufour,2.39
598,Adam,Legrand,5.75
599,Lola,Roy,8.43
600,Inès,Robert,19.8
601,Inaya,Fabre,3.62
602,Juliette,Guillaume,19.44
603,Victor,Bertrand,15.78
604,Romy,Fabre,4.4
605,Chloé,Colin,12.51
606,Léna,Denis,9.34
607,Léon,Bourgeois,12.94
608,Nour,Girard,0.37
609,Raphaël,Gerard,3.34
610,Elena,Garnier,0.77
611,Alba,Lucas,6.0
612,Giulia,Garnier,8.88
613,Marceau,Arnaud,13.15
614,Luna,Moreau,1.04
615,Adam,Simon,11.52
616,Ambre,Andre,1.32
617,Augustin,Brunet,6.39
618,Naël,Masson,13.96
619,Romy,Dumas,9.83
620,Victoria,Leroux,6.85
621,Alma,Faure,6.02
622,Sacha,Barbier,17.24
623,Liam,Gautier,10.33
624,Agathe,David,18.47
625,Lucas,Picard,8.06
626,Tom,David,0.18
627,Malo,Dufour,7.27
628,Robin,Martinez,15.74
629,Martin,Laurent,17.28
630,Gaspard,Meunier,10.09
631,Alma,Michel,16.09
632,Sacha,Leclerc,9.58
633,Lou,Dumas,0.23
634,Alix,Gautier,17.93
635,Naël,Blanchard,11.18
636,Alice,Rey,19.48
637,Rayan,Masson,10.31
638,Mya,Payet,6.88
639,Chloé,Richard,6.38
640,Ayden,Blanc,15.13
641,Gaspard,Benoit,0.43
642,Agathe,Morin,7.6
643,Lou,Bernard,15.8
644,Valentin,Lefebvre,10.42
645,Inaya,Schmitt,9.32
646,Lya,Rey,7.71
647,Gaspard,Aubert,6.05
648,Jade,Lecomte,10.17
649,Tiago,Payet,9.95
650,Léonie,Bertrand,4.62
651,Giulia,Mathieu,17.33
652,Théo,Marchand,3.97
653,Tiago,Boyer,15.9
654,Axel,Rousseau,1.61
655,Chloé,Moreau,9.38
656,Romy,Girard,15.89
657,Nathan,Vincent,8.85
658,Jeanne,Dufour,15.21
659,Hugo,Benoit,4.6
660,Léon,Leclerc,12.12
661,Nino,Vidal,18.82
662,Augustin,Barbier,3.46
663,Jade,Brunet,13.51
664,Agathe,Benoit,7.99
665,Romy,Arnaud,7.23
666,Théo,Meunier,14.3
667,Eden,Lucas,17.34
668,Tom,Lacroix,16.83
669,Martin,Robin,19.78
670,Gabin,Barbier,12.39
671,Léa,Arnaud,17.29
672,Hugo,Pierre,15.23
673,Maël,Philippe,13.04
674,Léa,Robert,18.58
675,Tiago,Caron,0.18
676,Luna,Vidal,11.5
677,Victoire,Roger,14.4
678,Marius,Robert,7.01
679,Tiago,Boyer,12.26
680,Marceau,Roche,16.23
681,Charlie,Boyer,10.85
682,Nathan,Roussel,19.97
683,Robin,Morin,10.25
684,Paul,Michel,5.11
685,Sofia,Renard,0.63
686,Théo,Garnier,9.2
687,Hugo,Renaud,9.71
688,Adèle,Dumas,0.63
689,Nino,Lemoine,0.47
690,Jade,Olivier,1.95
691,Inaya,Riviere,11.83
692,Naël,Roche,5.16
693,Alice,Arnaud,1.6
694,Nour,David,11.99
695,Olivia,Morin,13.01
696,Rose,Morin,7.93
697,Lucas,Bernard,2.25
698,Charlie,Lambert,19.01
699,Arthur,Bertrand,10.82
700,Marius,Schmitt,1.56
701,Raphaël,Andre,15.05
702,Liam,Colin,12.26
703,Sofia,Clement,2.13
704,Nino,Meunier,0.59
705,Alice,Renaud,5.81
706,Sacha,Brunet,15.78
707,Imran,Meunier,19.73
708,Alice,Riviere,11.05
709,Lou,Fournier,2.26
710,Paul,Philippe,15.51
711,Alice,Mathieu,9.42
712,Ethan,Gautier,9.11
713,Adèle,Dumont,12.59
714,Rayan,Duval,16.42
715,Elena,Muller,3.12
716,Elio,Lemoine,12.0
717,Milo,Gautier,18.82
718,Paul,Vincent,4.12
719,Eva,Roche,12.85
720,Lya,Petit,13.6
721,Marius,Leroux,8.53
722,Marius,Roussel,1.34
723,Ibrahim,Lucas,4.03
724,Mya,Michel,6.6
725,Anna,Girard,17.52
726,Zoé,Masson,2.36
727,Emy,Fournier,2.95
728,Ibrahim,Bonnet,3.86
729,Mia,Duval,18.19
730,Eden,Brun,1.28
731,Louise,Francois,5.45
732,Adèle,Roger,6.02
733,Martin,Guerin,16.5
734,Louis,Clement,0.81
735,Eden,Robert,17.56
736,Luna,Mathieu,17.0
737,Adèle,Dumas,9.11
738,Mia,Andre,15.54
739,Sacha,Masson,3.38
740,Gabin,Michel,19.72
741,Alma,Martinez,2.39
742,Charlie,Dubois,7.4
743,Adam,Pierre,11.78
744,Nino,Legrand,19.74
745,Enzo,Roussel,5.12
746,Romane,Payet,5.19
747,Mohamed,Philippe,19.44
748,Tiago,Arnaud,13.44
749,Julia,Muller,13.18
750,Romane,Renaud,1.05
751,Victoire,Petit,11.63
752,Victor,Guillaume,11.69
753,Théo,Morin,14.28
754,Arthur,Aubert,8.05
755,Emma,Lefebvre,7.45
756,Eliott,David,9.33
757,Léna,Arnaud,3.74
758,Noé,Roux,3.46
759,Sofia,Gautier,18.21
760,Augustin,Laurent,9.03
761,Inès,Pierre,16.08
762,Valentin,Bernard,10.49
763,Naël,Leroux,17.25
764,Agathe,Robin,5.45
765,Margaux,Lucas,17.48
766,Valentin,Dufour,4.81
767,Olivia,Giraud,19.88
768,Augustin,Renard,18.85
769,Nour,Simon,13.07
770,Iris,Duval,7.65
771,Liam,Lucas,14.51
772,Milo,Barbier,12.21
773,Margaux,Garnier,6.14
774,Giulia,Benoit,5.58
775,Victoire,Pierre,18.8
776,Noah,Brun,10.63
777,Alba,Boyer,17.32
778,Anna,Lambert,17.48
779,Nour,Roy,0.3
780,Eden,Dumas,7.35
781,Mia,Simon,12.78
782,Zoé,Gerard,7.13
783,Paul,Faure,5.46
784,Emy,Leclercq,4.78
785,Lola,Leroy,2.84
786,Zoé,Roy,5.41
787,Marceau,Riviere,15.21
788,Valentin,Garcia,0.26
789,Gabin,Henry,14.01
790,Zoé,Faure,6.61
791,Ava,Brunet,14.34
792,Luna,Olivier,9.24
793,Ethan,Muller,6.1
794,Lola,Robert,5.29
795,Agathe,Dumont,18.16
796,Tiago,Boyer,16.79
797,Hugo,Lecomte,0.53
798,Mya,Pierre,6.57
799,Mya,Lefevre,16.2
800,Léon,Leclercq,4.95
801,Noé,Noel,7.61
802,Eva,Duval,2.98
803,Raphaël,Rolland,15.03
804,Lyana,Joly,10.07
805,Léon,Legrand,14.48
806,Lyam,Robin,5.56
807,Rayan,Perrin,11.03
808,Maël,Pierre,7.6
809,Alba,Bonnet,17.23
810,Liam,Lecomte,19.92
811,Aaron,Morel,1.11
812,Lucas,Renard,1.5
813,Anna,Petit,1.89
814,Noé,Blanc,12.52
815,Rose,Arnaud,6.21
816,Margaux,Clement,10.33
817,Léa,Thomas,5.34
818,Elio,Fontaine,15.69
819,Rose,Gauthier,19.7
820,Léonie,Leclercq,8.93
821,Amir,Lambert,5.04
822,Julia,Andre,10.37
823,Margaux,Fontaine,13.36
824,Chloé,Benoit,10.07
825,Marius,Philippe,9.94
826,Léo,Joly,4.21
827,Ava,Muller,17.32
828,Romane,Arnaud,18.59
829,Victoria,Blanchard,19.22
830,Eliott,Giraud,18.19
831,Sofia,Roger,3.29
832,Nour,Bonnet,14.87
833,Victor,Gerard,0.37
834,Malo,Laurent,7.75
835,Sofia,Durand,7.16
836,Lucas,Morin,3.96
837,Lina,Garnier,11.79
838,Romane,Roux,17.99
839,Inès,Duval,10.84
840,Raphaël,Lacroix,17.71
841,Julia,Roger,12.27
842,Ayden,Robert,13.15
843,Eliott,Mathieu,1.41
844,Charlotte,Leclercq,15.68
845,Nino,Roche,7.5
846,Victoire,Boyer,3.53
847,Timéo,Renard,2.45
848,Ambre,Rousseau,5.23
849,Alice,Fontaine,4.63
850,Maël,Vidal,3.26
851,Léon,Thomas,12.11
852,Alma,Lefevre,3.08
853,Martin,Vidal,1.62
854,Eden,Girard,8.9
855,Jeanne,Roux,3.45
856,Tom,Roche,13.44
857,Zoé,Andre,5.83
858,Léon,Guerin,16.59
859,Martin,Brunet,18.51
860,Liam,Lucas,16.47
861,Noé,Brun,9.57
862,Ava,Morel,9.44
863,Emy,Dupont,14.32
864,Romane,Mercier,13.11
865,Léa,Morel,4.33
866,Aaron,Aubert,2.83
867,Adam,Robin,9.59
868,Louis,Rousseau,15.98
869,Juliette,Bernard,2.01
870,Noé,Dubois,1.68
871,Lucas,Bonnet,7.86
872,Adam,Girard,9.83
873,Gaspard,Girard,17.3
874,Amir,Picard,17.22
875,Sofia,Richard,13.7
876,Léo,Schmitt,0.14
877,Liam,Colin,19.89
878,Lyana,Philippe,5.96
879,Nino,Renaud,11.1
880,Emy,Lefebvre,9.01
881,Lola,Fournier,14.56
882,Ambre,Francois,11.9
883,Elio,Marie,11.04
884,Iris,Benoit,9.8
885,Léo,Chevalier,2.3
886,Léon,Durand,14.63
887,Tiago,Thomas,10.85
888,Alma,Clement,19.51
889,Margaux,Michel,18.23
890,Romy,Marchand,12.57
891,Liam,Garnier,0.97
892,Lucie,Noel,3.37
893,Martin,Denis,2.11
894,Louis,Renaud,14.37
895,Lucie,Lemoine,8.68
896,Nathan,Fabre,16.74
897,Jade,David,7.9
898,Maël,Nicolas,11.61
899,Mya,Guerin,7.1
900,Imran,Thomas,1.07
901,Tiago,Nicolas,17.3
902,Louna,Caron,19.66
903,Imran,Petit,9.87
904,Enzo,Michel,9.58
905,Valentin,Thomas,7.74
906,Lola,Benoit,16.39
907,Ambre,Barbier,12.91
908,Noé,Gaillard,9.27
909,Gabriel,Michel,14.14
910,Amir,Leclercq,5.71
911,Nour,Renaud,1.89
912,Milo,Garcia,10.59
